 Investigação de Dermatoses ocupacionais - Notificações registradas no Sinan Net - Brasil
Notificações por Município de notificação
Período:2006-2023
"Município de notificação";"Notificações"
"110004 CACOAL";7
"110012 JI-PARANA";2
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";13
"110030 VILHENA";3
"110037 ALTO ALEGRE DOS PARECIS";1
"110080 CANDEIAS DO JAMARI";1
"110094 CUJUBIM";8
"110140 MONTE NEGRO";4
"110147 PRIMAVERA DE RONDONIA";5
"110148 SAO FELIPE D'OESTE";2
"120025 EPITACIOLANDIA";1
"120033 MANCIO LIMA";3
"120040 RIO BRANCO";7
"130014 APUI";1
"130030 AUTAZES";2
"130040 BARCELOS";3
"130060 BENJAMIN CONSTANT";1
"130110 CAREIRO";3
"130185 IRANDUBA";15
"130190 ITACOATIARA";1
"130200 ITAPIRANGA";1
"130260 MANAUS";10
"130310 NOVA OLINDA DO NORTE";1
"130330 NOVO ARIPUANA";1
"130420 TEFE";13
"130430 URUCARA";1
"140010 BOA VISTA";19
"140047 RORAINOPOLIS";1
"150060 ALTAMIRA";2
"150080 ANANINDEUA";1
"150085 ANAPU";3
"150140 BELEM";8
"150178 BREU BRANCO";1
"150215 CANAA DOS CARAJAS";4
"150270 CONCEICAO DO ARAGUAIA";11
"150304 FLORESTA DO ARAGUAIA";1
"150442 MARITUBA";2
"150543 OURILANDIA DO NORTE";1
"150610 PRIMAVERA";1
"150613 REDENCAO";5
"150680 SANTAREM";2
"150780 SENADOR JOSE PORFIRIO";1
"150810 TUCURUI";22
"150840 XINGUARA";1
"160030 MACAPA";30
"170130 ARAGOMINAS";2
"170210 ARAGUAINA";407
"170215 ARAGUANA";3
"170255 AUGUSTINOPOLIS";3
"170300 BABACULANDIA";2
"170330 BOM JESUS DO TOCANTINS";1
"170382 CACHOEIRINHA";7
"170388 CARMOLANDIA";3
"170550 COLINAS DO TOCANTINS";1
"170650 DARCINOPOLIS";3
"170700 DIANOPOLIS";1
"170710 DIVINOPOLIS DO TOCANTINS";1
"170930 GUARAI";4
"170950 GURUPI";3
"171090 ITAPIRATINS";1
"171320 MIRACEMA DO TOCANTINS";2
"171380 PALMEIRAS DO TOCANTINS";1
"171420 NATIVIDADE";1
"171430 NAZARE";1
"171488 NOVA OLINDA";2
"171510 NOVO ACORDO";1
"171575 PALMEIROPOLIS";1
"171650 PEDRO AFONSO";1
"171665 PEQUIZEIRO";1
"171720 PIRAQUE";7
"171780 PONTE ALTA DO BOM JESUS";1
"171855 RIACHINHO";1
"172080 SITIO NOVO DO TOCANTINS";10
"172100 PALMAS";25
"172120 TOCANTINOPOLIS";3
"172208 WANDERLANDIA";1
"172210 XAMBIOA";2
"210010 AFONSO CUNHA";1
"210060 AMARANTE DO MARANHAO";1
"210300 CAXIAS";5
"210405 ESTREITO";2
"210455 GOVERNADOR EDISON LOBAO";3
"210530 IMPERATRIZ";10
"210640 MATA ROMA";1
"210720 NINA RODRIGUES";1
"210860 PINHEIRO";1
"211105 SAO JOAO DO PARAISO";1
"211120 SAO JOSE DE RIBAMAR";5
"211130 SAO LUIS";6
"211220 TIMON";1
"220390 FLORIANO";1
"220550 JOSE DE FREITAS";1
"220556 LAGOA DO BARRO DO PIAUI";1
"220840 PIRIPIRI";2
"221040 SAO MIGUEL DO TAPUIO";4
"221100 TERESINA";1
"230100 AQUIRAZ";2
"230110 ARACATI";22
"230240 BOA VIAGEM";3
"230310 CARIRE";6
"230340 CARNAUBAL";10
"230350 CASCAVEL";14
"230410 CRATEUS";3
"230425 CRUZ";1
"230427 ERERE";1
"230440 FORTALEZA";35
"230500 GUARACIABA DO NORTE";3
"230523 HORIZONTE";29
"230620 ITAICABA";1
"230625 ITAITINGA";1
"230730 JUAZEIRO DO NORTE";9
"230760 LIMOEIRO DO NORTE";2
"230765 MARACANAU";11
"230790 MARTINOPOLE";1
"230800 MASSAPE";1
"230870 MORADA NOVA";4
"231080 PEREIRO";5
"231140 QUIXERAMOBIM";27
"231150 QUIXERE";1
"231180 RUSSAS";16
"231230 SAO BENEDITO";1
"231260 SAO LUIS DO CURU";1
"231270 SENADOR POMPEU";1
"231290 SOBRAL";18
"231340 TIANGUA";26
"231360 UBAJARA";4
"231410 VICOSA DO CEARA";4
"240100 APODI";1
"240200 CAICO";7
"240230 CARAUBAS";1
"240450 GUAMARE";1
"240610 JUCURUTU";1
"240700 LUIS GOMES";1
"240800 MOSSORO";10
"240810 NATAL";44
"241230 SAO JOSE DO CAMPESTRE";1
"241260 SAO PAULO DO POTENGI";1
"241415 TENENTE LAURENTINO CRUZ";1
"241420 TIBAU DO SUL";1
"241490 VICOSA";1
"250320 CABEDELO";4
"250400 CAMPINA GRANDE";6
"250750 JOAO PESSOA";12
"250860 LUCENA";1
"251080 PATOS";11
"251370 SANTA RITA";1
"251380 SANTA TERESINHA";1
"251630 SUME";1
"251670 TEIXEIRA";1
"260040 AGUA PRETA";1
"260140 BARREIROS";3
"260190 BEZERROS";1
"260220 BOM JARDIM";1
"260290 CABO DE SANTO AGOSTINHO";138
"260345 CAMARAGIBE";2
"260450 CHA GRANDE";4
"260600 GARANHUNS";2
"260720 IPOJUCA";3
"260790 JABOATAO DOS GUARARAPES";9
"260805 JATOBA";4
"260875 LAGOA GRANDE";1
"260960 OLINDA";1
"261070 PAULISTA";1
"261110 PETROLINA";7
"261140 PRIMAVERA";2
"261160 RECIFE";14
"261190 RIO FORMOSO";1
"261240 SANHARO";1
"261250 SANTA CRUZ DO CAPIBARIBE";2
"261340 SAO JOSE DA COROA GRANDE";1
"270030 ARAPIRACA";14
"270140 CAMPO ALEGRE";4
"270240 DELMIRO GOUVEIA";6
"270430 MACEIO";39
"270500 MATA GRANDE";1
"270630 PALMEIRA DOS INDIOS";3
"270642 PARICONHA";1
"270730 PORTO CALVO";1
"270810 SANTANA DO MUNDAU";1
"270860 SAO MIGUEL DOS CAMPOS";1
"270930 UNIAO DOS PALMARES";1
"280030 ARACAJU";22
"280120 CANINDE DE SAO FRANCISCO";4
"280350 LAGARTO";5
"280420 MONTE ALEGRE DE SERGIPE";1
"280550 POCO VERDE";2
"290070 ALAGOINHAS";7
"290090 ALMADINA";1
"290110 AMELIA RODRIGUES";1
"290190 APORA";1
"290260 BAIXA GRANDE";1
"290290 BARRA DO CHOCA";1
"290320 BARREIRAS";6
"290340 BELMONTE";2
"290370 BOA NOVA";7
"290390 BOM JESUS DA LAPA";1
"290395 BOM JESUS DA SERRA";8
"290405 BONITO";3
"290430 BREJOES";1
"290450 BROTAS DE MACAUBAS";1
"290520 CAETITE";6
"290540 CAIRU";1
"290570 CAMACARI";22
"290800 COARACI";1
"290840 CONCEICAO DO COITE";9
"291080 FEIRA DE SANTANA";11
"291120 GANDU";1
"291230 IBICUI";2
"291280 IBIRAPUA";1
"291320 IBOTIRAMA";2
"291345 IGRAPIUNA";2
"291360 ILHEUS";2
"291470 ITABERABA";42
"291480 ITABUNA";5
"291490 ITACARE";1
"291640 ITAPETINGA";1
"291685 ITATIM";1
"291700 ITIUBA";1
"291740 JACARACI";1
"291750 JACOBINA";5
"291800 JEQUIE";10
"291840 JUAZEIRO";8
"291880 LAJE";1
"291905 LAJEDO DO TABOCAL";1
"291955 LUIS EDUARDO MAGALHAES";2
"292050 MARACAS";4
"292080 MARCIONILIO SOUZA";2
"292110 MEDEIROS NETO";15
"292260 NILO PECANHA";6
"292265 NORDESTINA";1
"292490 PLANALTINO";1
"292525 PONTO NOVO";1
"292575 PRESIDENTE TANCREDO NEVES";1
"292590 QUIJINGUE";1
"292650 RIBEIRA DO AMPARO";2
"292680 RIO DO ANTONIO";3
"292740 SALVADOR";95
"292800 SANTALUZ";2
"292830 SANTANOPOLIS";1
"292850 SANTA TERESINHA";1
"292870 SANTO ANTONIO DE JESUS";23
"292937 SAO JOSE DO JACUIPE";1
"292950 SAO SEBASTIAO DO PASSE";1
"293010 SENHOR DO BONFIM";2
"293110 TANQUINHO";1
"293120 TAPEROA";2
"293135 TEIXEIRA DE FREITAS";22
"293200 UAUA";1
"293320 VERA CRUZ";1
"293325 VEREDA";1
"293330 VITORIA DA CONQUISTA";21
"293345 WANDERLEY";1
"310050 ACUCENA";1
"310070 AGUA COMPRIDA";1
"310100 AGUAS VERMELHAS";1
"310110 AIMORES";1
"310170 ALMENARA";3
"310190 ALPINOPOLIS";1
"310260 ANDRADAS";17
"310280 ANDRELANDIA";2
"310320 ARACAI";3
"310330 ARACITABA";3
"310350 ARAGUARI";1
"310400 ARAXA";32
"310450 ARINOS";2
"310480 AUGUSTO DE LIMA";2
"310510 BAMBUI";2
"310560 BARBACENA";34
"310590 BARROSO";2
"310620 BELO HORIZONTE";248
"310670 BETIM";345
"310690 BICAS";1
"310730 BOCAIUVA";2
"310790 BOM REPOUSO";11
"310830 BORDA DA MATA";4
"310850 BOTUMIRIM";2
"310855 BRASILANDIA DE MINAS";6
"310860 BRASILIA DE MINAS";1
"310880 BRAUNAS";3
"310900 BRUMADINHO";14
"310920 BUENOPOLIS";1
"310980 CACHOEIRA DOURADA";2
"311020 CAJURI";1
"311060 CAMBUI";1
"311090 CAMPANHA";1
"311120 CAMPO BELO";2
"311150 CAMPOS ALTOS";1
"311180 CANAPOLIS";2
