 Investiga��o de Pneumoconiose relacionada ao trabalho - Notifica��es registradas no Sinan Net - Brasil
Notifica��es por Munic�pio de notifica��o

Per�odo: 2006-2023

"Munic�pio de notifica��o";"Notifica��es"


"110004 CACOAL";2
"110005 CEREJEIRAS";1
"110020 PORTO VELHO";1
"110029 SANTA LUZIA D'OESTE";1
"110148 SAO FELIPE D'OESTE";1
"120038 PLACIDO DE CASTRO";1
"130160 FONTE BOA";6
"130260 MANAUS";4
"130330 NOVO ARIPUANA";2
"130353 PRESIDENTE FIGUEIREDO";1
"130420 TEFE";3
"140010 BOA VISTA";9
"150060 ALTAMIRA";11
"150140 BELEM";3
"150442 MARITUBA";1
"150550 PARAGOMINAS";1
"150680 SANTAREM";1
"170210 ARAGUAINA";1
"170510 CHAPADA DA NATIVIDADE";1
"170560 CONCEICAO DO TOCANTINS";1
"171370 MONTE SANTO DO TOCANTINS";1
"171820 PORTO NACIONAL";2
"172100 PALMAS";25
"172120 TOCANTINOPOLIS";1
"210455 GOVERNADOR EDISON LOBAO";1
"210530 IMPERATRIZ";1
"210660 MATOES";1
"210735 NOVA OLINDA DO MARANHAO";1
"211130 SAO LUIS";2
"220220 CAMPO MAIOR";1
"220270 COCAL";1
"220390 FLORIANO";1
"221063 SEBASTIAO LEAL";3
"221100 TERESINA";1
"230110 ARACATI";3
"230170 AURORA";1
"230350 CASCAVEL";1
"230440 FORTALEZA";6
"230500 GUARACIABA DO NORTE";1
"230523 HORIZONTE";1
"230530 IBIAPINA";1
"230730 JUAZEIRO DO NORTE";3
"230780 MARCO";1
"230860 MONSENHOR TABOSA";1
"230920 NOVA OLINDA";1
"231290 SOBRAL";2
"231340 TIANGUA";8
"231360 UBAJARA";5
"231410 VICOSA DO CEARA";2
"240010 ACARI";1
"240200 CAICO";27
"240240 CARNAUBA DOS DANTAS";3
"240300 CRUZETA";1
"240340 EQUADOR";6
"240350 ESPIRITO SANTO";1
"240800 MOSSORO";4
"240810 NATAL";38
"241180 SAO FERNANDO";1
"250320 CABEDELO";1
"250400 CAMPINA GRANDE";4
"250750 JOAO PESSOA";4
"251080 PATOS";1
"251110 PEDRA LAVRADA";9
"260290 CABO DE SANTO AGOSTINHO";2
"260620 GOIANA";1
"260700 INAJA";1
"260775 ITAPISSUMA";1
"261160 RECIFE";63
"261640 VITORIA DE SANTO ANTAO";1
"270030 ARAPIRACA";2
"270430 MACEIO";2
"270620 PALESTINA";1
"270860 SAO MIGUEL DOS CAMPOS";1
"280030 ARACAJU";3
"290170 ANTONIO CARDOSO";1
"290370 BOA NOVA";1
"290395 BOM JESUS DA SERRA";27
"290450 BROTAS DE MACAUBAS";4
"290520 CAETITE";3
"290570 CAMACARI";3
"290580 CAMAMU";1
"290840 CONCEICAO DO COITE";3
"291020 DOM MACEDO COSTA";1
"291080 FEIRA DE SANTANA";9
"291250 IBIPITANGA";3
"291470 ITABERABA";6
"291480 ITABUNA";2
"291750 JACOBINA";16
"291800 JEQUIE";1
"291840 JUAZEIRO";1
"291920 LAURO DE FREITAS";1
"292110 MEDEIROS NETO";1
"292303 NOVO HORIZONTE";47
"292510 POCOES";11
"292575 PRESIDENTE TANCREDO NEVES";1
